deviceid,date,month,AVG(sampledata.TC),SUM(LW),AVG(PLV2),farmid,cropname
ZT1FC3FS,25-01-2021,1,15.7975,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,26-01-2021,1,12.386250000000002,14,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,27-01-2021,1,11.767708333333337,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,28-01-2021,1,13.056249999999999,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,29-01-2021,1,11.803749999999999,36,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,30-01-2021,1,12.098333333333334,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,31-01-2021,1,13.884166666666667,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,01-02-2021,2,15.496249999999996,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,02-02-2021,2,16.718333333333337,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,03-02-2021,2,17.591250000000002,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,04-02-2021,2,18.457500000000003,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,05-02-2021,2,17.18541666666667,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,06-02-2021,2,14.406250000000005,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,07-02-2021,2,13.8425,31,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,08-02-2021,2,14.674583333333333,4,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,09-02-2021,2,16.65791666666667,4,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,10-02-2021,2,18.034583333333334,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,11-02-2021,2,18.38375,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,12-02-2021,2,18.77958333333333,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,13-02-2021,2,19.512083333333333,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,14-02-2021,2,19.883749999999996,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,15-02-2021,2,19.755,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,16-02-2021,2,19.524583333333336,11,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,17-02-2021,2,19.075833333333335,21,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,18-02-2021,2,18.9475,31,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,19-02-2021,2,18.58666666666667,196,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,20-02-2021,2,17.814583333333335,5,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,21-02-2021,2,18.2075,7,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,22-02-2021,2,19.334583333333335,16,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,23-02-2021,2,20.3125,24,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,24-02-2021,2,21.469583333333333,23,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,25-02-2021,2,22.077916666666667,23,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,26-02-2021,2,21.68625,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,27-02-2021,2,23.051666666666673,17,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,28-02-2021,2,23.92625,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,01-03-2021,3,22.731666666666666,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,02-03-2021,3,20.704999999999995,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,03-03-2021,3,21.205416666666665,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,04-03-2021,3,21.927916666666665,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,05-03-2021,3,21.694583333333338,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,06-03-2021,3,22.20125,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,07-03-2021,3,23.462500000000006,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,08-03-2021,3,23.971666666666668,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,09-03-2021,3,23.23708333333334,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,10-03-2021,3,23.610208333333333,50,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,11-03-2021,3,24.74000000000001,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,12-03-2021,3,24.989583333333332,94,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,13-03-2021,3,23.02166666666666,10,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,14-03-2021,3,23.464166666666667,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,15-03-2021,3,24.74416666666666,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,16-03-2021,3,25.962499999999995,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,17-03-2021,3,25.839166666666667,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,18-03-2021,3,25.983749999999997,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,19-03-2021,3,22.76291666666667,271,0.0833,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,20-03-2021,3,23.59583333333333,10,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,21-03-2021,3,24.989166666666662,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,22-03-2021,3,25.815833333333327,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,23-03-2021,3,24.260833333333327,65,0.1250,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,24-03-2021,3,23.847499999999997,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,25-03-2021,3,23.494583333333335,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,26-03-2021,3,22.958333333333332,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,27-03-2021,3,25.36458333333334,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,28-03-2021,3,27.224166666666665,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,29-03-2021,3,28.774583333333336,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,30-03-2021,3,29.791666666666668,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,31-03-2021,3,30.396666666666675,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,01-04-2021,4,28.207499999999996,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,02-04-2021,4,25.91666666666667,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,03-04-2021,4,26.127499999999998,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,04-04-2021,4,27.08708333333333,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,05-04-2021,4,29.289583333333336,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,06-04-2021,4,31.03333333333333,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,07-04-2021,4,30.816666666666663,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,08-04-2021,4,28.242500000000007,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,09-04-2021,4,28.01916666666666,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,10-04-2021,4,28.74083333333333,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,11-04-2021,4,29.05083333333334,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,12-04-2021,4,29.047916666666666,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,13-04-2021,4,29.50166666666667,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,14-04-2021,4,29.808333333333334,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,15-04-2021,4,27.840833333333336,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,16-04-2021,4,29.477916666666673,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,17-04-2021,4,30.299999999999997,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,18-04-2021,4,29.208333333333332,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,19-04-2021,4,30.08208333333334,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,20-04-2021,4,31.282083333333333,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,21-04-2021,4,29.78708333333333,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,22-04-2021,4,27.70875,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,23-04-2021,4,28.984583333333333,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,24-04-2021,4,30.335833333333337,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,25-04-2021,4,28.795416666666664,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,26-04-2021,4,28.97541666666667,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,27-04-2021,4,30.02208333333333,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,28-04-2021,4,30.627916666666668,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,29-04-2021,4,32.121249999999996,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,30-04-2021,4,32.45958333333332,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,01-05-2021,5,29.990416666666672,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,02-05-2021,5,29.699583333333333,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,03-05-2021,5,28.7225,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,04-05-2021,5,29.910416666666663,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,05-05-2021,5,31.96708333333333,0,0.0417,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,06-05-2021,5,32.208333333333336,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,07-05-2021,5,32.958333333333336,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,08-05-2021,5,32.74,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,09-05-2021,5,32.897083333333335,0,0.0417,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,10-05-2021,5,33.249166666666675,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,11-05-2021,5,32.62333333333333,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,12-05-2021,5,31.656666666666663,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,13-05-2021,5,31.94791666666667,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,14-05-2021,5,31.34125,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,15-05-2021,5,32.885,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,16-05-2021,5,32.45416666666666,56,0.0417,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,17-05-2021,5,28.56625,75,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,18-05-2021,5,28.735000000000003,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,19-05-2021,5,28.590952380952384,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,20-05-2021,5,28.142083333333332,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,21-05-2021,5,31.471666666666664,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,22-05-2021,5,31.80166666666666,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,23-05-2021,5,31.36749999999999,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,24-05-2021,5,31.45041666666666,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,25-05-2021,5,33.295416666666675,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,26-05-2021,5,32.25333333333333,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,27-05-2021,5,30.907083333333333,92,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,28-05-2021,5,29.54708333333333,111,0.1250,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,29-05-2021,5,28.27666666666667,104,1.4583,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,30-05-2021,5,28.1075,38,0.4583,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,31-05-2021,5,23.566,0,0.0000,2CkGqcWtBndq5pHCh,Pomegranate
